,fecha,cantidad_articulos,total_importe
0,01/09/2020,725,187805.51
1,01/10/2020,714,217737.2
2,01/11/2020,769,244827.88
3,02/09/2020,777,236752.26
4,02/10/2020,846,280201.06
5,02/11/2020,805,240552.36
6,03/09/2020,857,271210.68
7,03/10/2020,873,308740.16
8,03/11/2020,802,230062.14
9,04/09/2020,869,299937.84
10,04/10/2020,813,240186.41
11,04/11/2020,753,215690.56
12,05/09/2020,884,295047.37
13,05/10/2020,824,260486.2
14,05/11/2020,757,227835.0
15,06/09/2020,820,238426.53
16,06/10/2020,749,203617.42
17,06/11/2020,841,256258.32
18,07/09/2020,815,247942.42
19,07/10/2020,759,211686.19
20,07/11/2020,907,280040.04
21,08/09/2020,820,247673.89
22,08/10/2020,767,214755.4
23,08/11/2020,782,225709.8
24,09/09/2020,772,213343.47
25,09/10/2020,836,266516.88
26,09/11/2020,711,195697.5
27,10/09/2020,739,213875.57
28,10/10/2020,845,264997.64
29,10/11/2020,698,203733.52
30,11/09/2020,743,211036.1
31,11/10/2020,717,194116.77
32,12/09/2020,815,277631.92
33,12/10/2020,725,187769.42
34,13/09/2020,659,158448.43
35,13/10/2020,737,190261.54
36,14/09/2020,777,219818.86
37,14/10/2020,696,192068.76
38,15/09/2020,746,229936.08
39,15/10/2020,705,204819.2
40,16/09/2020,719,210634.68
41,16/10/2020,814,267563.96
42,17/09/2020,700,243912.19
43,17/10/2020,813,296498.54
44,18/09/2020,782,260826.23
45,18/10/2020,731,219745.28
46,19/08/2020,749,265570.24
47,19/09/2020,807,287231.36
48,19/10/2020,743,252200.72
49,20/08/2020,660,226525.74
50,20/09/2020,741,232676.94
51,20/10/2020,657,212644.52
52,21/08/2020,772,297955.58
53,21/09/2020,737,226414.46
54,21/10/2020,701,233847.76
55,22/08/2020,841,334601.93
56,22/09/2020,688,220526.23
57,22/10/2020,662,198842.24
58,23/08/2020,733,249298.28
59,23/09/2020,657,201345.82
60,23/10/2020,802,297457.7
61,24/08/2020,826,339008.46
62,24/09/2020,698,214752.78
63,24/10/2020,775,269517.46
64,25/08/2020,664,193091.21
65,25/09/2020,750,261086.19
66,25/10/2020,753,223475.88
67,26/08/2020,698,206034.22
68,26/09/2020,827,276869.64
69,26/10/2020,671,201284.64
70,27/08/2020,595,157663.48
71,27/09/2020,730,195583.79
72,27/10/2020,726,237959.46
73,28/08/2020,788,284494.96
74,28/09/2020,680,187674.71
75,28/10/2020,675,194469.24
76,29/08/2020,773,268351.92
77,29/09/2020,719,202723.09
78,29/10/2020,683,194204.0
79,30/08/2020,806,246807.36
80,30/09/2020,683,188665.76
81,30/10/2020,801,252455.86
82,31/08/2020,664,182605.31
83,31/10/2020,852,287103.04
